,Name,Symbol,Market Cap,Price,Circulating Supply
0,BTCBitcoin,BTC,"$401,157,940,864.19","$21,027.30","19,077,962"
1,ETHEthereum,ETH,"$145,556,215,206.34","$1,199.83","121,313,867"
2,USDTTether,USDT,"$66,827,166,314.20",$0.9994,"66,867,450,244"
3,USDCUSD Coin,USDC,"$55,876,331,532.71",$0.9998,"55,886,776,114"
4,BNBBNB,BNB,"$38,183,748,927.97",$233.86,"163,276,975"
5,XRPXRP,XRP,"$17,348,594,104.59",$0.3589,"48,343,101,197"
6,BUSDBinance USD,BUSD,"$17,374,825,904.26",$1.0007,"17,362,580,695"
7,ADACardano,ADA,"$16,527,043,912.82",$0.4897,"33,752,565,071"
8,SOLSolana,SOL,"$13,507,861,443.26",$39.41,"342,768,771"
9,DOGEDogecoin,DOGE,"$9,708,405,808.70",$0.07318,"132,670,764,300"
